BDD0000-M02  OLCS  wait  Warning letter  xpathLinkContains  NA  Yes  1000
BDD0000-N02  OLCS  click  Warning letter  xpathLinkContains  NA  Yes  1000
BDD0000-A01  OLCS  wait  Advanced search  linkText  NA  Yes  1000
BDD0000-C01  OLCS  standardKeys  operatorName  id  Ted  Yes  1000
BDD0000-D01  OLCS  specialKeys  operatorName  id  BACK_SPACE  Yes  1000
BDD0000-E01  OLCS  click  submitbutton  id  NA  Yes  1000
BDD0000-G01  OLCS  wait  ompliance  partialLinkText  NA  Yes  1000
BDD0000-F01  OLCS  checkContent  body  tagName  searched for  Yes  1000
BDD0000-H01  OLCS  checkUrl  NA  NA  http://volcs-olcs.olcsdv-ap01.olcs.npm/search/operator-results/page/1/10?operatorName=Te  Yes  1000
BDD0000-J01  OLCS  click  /case/new/54  xpathHref  NA  Yes  1000
BDD0000-I01  OLCS  wait  body  tagName  create new case  Yes  1000
BDD0000-L01  OLCS  standardKeys  description  id  Test entry  Yes  1000
BDD0000-N01  OLCS  standardKeys  ecms  id  12345  Yes  1000
BDD0000-M01  OLCS  click  Compliance  xpathLinkContains  NA  Yes  1000
BDD0000-K01  OLCS  wait  Convictions  linkText  NA  Yes  1000
BDD0000-O01  OLCS  click  Convictions  linkText  NA  Yes  1000
BDD0000-P01  OLCS  wait  Compliance  xpathLinkContains  NA  Yes  1000
BDD0000-Q01  OLCS  wait  caseDetailsNote_ifr  id  NA  Yes  1000
BDD0000-R01  NA  switch  caseDetailsNote_ifr  NA  NA  Yes  1000
BDD0000-S01  NA  wait  p  tagName  NA  Yes  1000
BDD0000-T01  NA  click  tinymce  id  NA  Yes  1000
BDD0000-U01  NA  standardKeys  tinymce  id  Test entry 2  Yes  1000
BDD0000-V01  NA  switch  defaultContent  NA  NA  Yes  1000
BDD0000-W01  OLCS  checkContent  body  tagName  12345  Yes  1000
BDD0000-X01  OLCS  wait  Please select  xpathLinkContains  NA  Yes  1000
BDD0000-Y01  OLCS  click  Please select  xpathLinkContains  NA  Yes  1000
BDD0000-Z01  OLCS  wait  Generate submission  xpathLinkContains  NA  Yes  1000
BDD0000-A02  OLCS  click  Generate submission  xpathLinkContains  NA  Yes  1000
BDD0000-B02  OLCS  wait  submitbutton  id  NA  Yes  1000
BDD0000-C02  OLCS  checkContent  body  tagName  Test entry 2  Yes  1000
BDD0000-D02  OLCS  wait  Choose one  xpathLinkContains  NA  Yes  1000
BDD0000-E02  OLCS  click  Choose one  xpathLinkContains  NA  Yes  1000
BDD0000-F02  OLCS  wait  Recommendation  xpathLinkContains  NA  Yes  1000
BDD0000-G02  OLCS  click  Recommendation  xpathLinkContains  NA  Yes  1000
BDD0000-B01  OLCS  click  Advanced search  linkText  NA  Yes  1000
BDD0000-H02  OLCS  wait  Select Person  xpathLinkContains  NA  Yes  1000
BDD0000-I02  OLCS  click  Select Person  xpathLinkContains  NA  Yes  1000
BDD0000-J02  OLCS  wait  Amy Wrigg  xpathLinkContains  NA  Yes  1000
BDD0000-K02  OLCS  click  Amy Wrigg  xpathLinkContains  NA  Yes  1000
BDD0000-L02  OLCS  click  #divRecommendActions  cssSelector  NA  Yes  1000
BDD0000-O02  OLCS  wait  subRecomDecNote_ifr  id  NA  Yes  1000
BDD0000-P02  NA  switch  subRecomDecNote_ifr  NA  NA  Yes  1000
BDD0000-Q02  NA  standardKeys  tinymce  id  Test entry 3  Yes  1000
BDD0000-R02  OLCS  click  /search  xpathHref  NA  Yes  1000
BDD0000-R00  OLCS  click  /application/new  xpathHref  NA  Yes  1000
BDD0000-S02  OLCS  checkContent  body  tagName  Test entry 2  Yes  1000
BDD0000-T02  OLCS  start  ompliance  partialLinkText  http://volcs-olcs.olcsdv-ap01.olcs.npm  Yes  1000
BDD0000-U02  OLCS  start  New Application  linkText  http://volcs-olcsselfserve.olcsdv-ap01.olcs.npm  Yes  1000
BDD0000-V02  OLCS  click  New Application  linkText  NA  Yes  1000
BDD0000-V00  OLCS  click  New  partialLinkText  NA  Yes  1000
BDD0000-W02  OLCS  click  Great Britain  xpathLabelContains  NA  Yes  1000
BDD0000-X02  OLCS  wait  Great Britain  xpathLabelContains  NA  Yes  1000
BDD0000-Y02  OLCS  click  Goods  xpathLabelContains  NA  Yes  1000
BDD0000-Z02  OLCS  wait  Goods  xpathLabelContains  NA  Yes  1000
BDD0000-A03  OLCS  click  Restricted  xpathLabelContains  NA  Yes  1000
BDD0000-B03  OLCS  wait  Restricted  xpathLabelContains  NA  Yes  1000
