BDD0000-M02  OLCS  wait  Warning letter  xpathLinkContains  NA  Yes  2000
BDD0000-N02  OLCS  click  Warning letter  xpathLinkContains  NA  Yes  2000
BDD0000-A01  OLCS  wait  Advanced search  linkText  NA  Yes  2000
BDD0000-C01  OLCS  standardKeys  operatorName  id  Ted  Yes  2000
BDD0000-D01  OLCS  specialKeys  operatorName  id  BACK_SPACE  Yes  2000
BDD0000-E01  OLCS  click  submitbutton  id  NA  Yes  2000
BDD0000-G01  OLCS  wait  ompliance  partialLinkText  NA  Yes  2000
BDD0000-F01  OLCS  checkContent  body  tagName  searched for  Yes  2000
BDD0000-H01  OLCS  checkUrl  NA  NA  http://volcs-olcs.olcsdv-ap01.olcs.npm/search/operator-results/page/1/10?operatorName=Te  Yes  2000
BDD0000-J01  OLCS  click  /case/new/41  xpathHref  NA  Yes  2000
BDD0000-I01  OLCS  wait  body  tagName  create new case  Yes  2000
BDD0000-L01  OLCS  standardKeys  description  id  Test entry  Yes  2000
BDD0000-N01  OLCS  standardKeys  ecms  id  12345  Yes  2000
BDD0000-M01  OLCS  click  Compliance  xpathLinkContains  NA  Yes  2000
BDD0000-K01  OLCS  wait  Convictions  linkText  NA  Yes  2000
BDD0000-O01  OLCS  click  Convictions  linkText  NA  Yes  2000
BDD0000-P01  OLCS  wait  Compliance  xpathLinkContains  NA  Yes  2000
BDD0000-Q01  OLCS  wait  caseDetailsNote_ifr  id  NA  Yes  2000
BDD0000-R01  NA  switch  caseDetailsNote_ifr  NA  NA  Yes  2000
BDD0000-S01  NA  wait  p  tagName  NA  Yes  2000
BDD0000-T01  NA  click  tinymce  id  NA  Yes  2000
BDD0000-U01  NA  standardKeys  tinymce  id  Test entry 2  Yes  2000
BDD0000-V01  NA  switch  defaultContent  NA  NA  Yes  2000
BDD0000-W01  OLCS  checkContent  body  tagName  12345  Yes  2000
BDD0000-X01  OLCS  wait  Please select  xpathLinkContains  NA  Yes  2000
BDD0000-Y01  OLCS  click  Please select  xpathLinkContains  NA  Yes  2000
